2026-08-09T16:01:38.285+09:00  INFO 14460 --- [CardCapture-back] [File Watcher] rtingClassPathChangeChangedEventListener : Restarting due to 1 class path change (1 addition, 0 deletions, 0 modifications)
2026-08-09T16:01:51.940+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-08-09T16:01:51.941+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2026-08-09T16:01:51.944+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2026-08-09T16:01:52.533+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-2] o.springdoc.api.AbstractOpenApiResource  : Init duration for springdoc-openapi is: 340 ms
2026-08-09T16:01:56.447+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] j.c.e.c.service.CardCuptureInitService   : CardCuptureInitService: init 開始
2026-08-09T16:01:56.454+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; 開始
2026-08-09T16:01:56.474+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 102 / suitLスペード s:1 / num: 2 numLab:2
2026-08-09T16:01:56.479+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=2 / card-c:102
2026-08-09T16:01:56.480+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 103 / suitLスペード s:1 / num: 3 numLab:3
2026-08-09T16:01:56.483+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=1 / num=3 / card-c:103
