2026-08-08T00:11:19.271+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 115 / suitLスペード s:1 / num: 14 numLab:エース
2026-08-08T00:11:19.271+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 104 / suitLハート s:2 / num: 2 numLab:2
2026-08-08T00:11:19.271+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 105 / suitLハート s:2 / num: 3 numLab:3
2026-08-08T00:11:19.271+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 106 / suitLハート s:2 / num: 4 numLab:4
2026-08-08T00:11:19.271+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 107 / suitLハート s:2 / num: 5 numLab:5
2026-08-08T00:11:19.271+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 108 / suitLハート s:2 / num: 6 numLab:6
2026-08-08T00:11:19.273+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 109 / suitLハート s:2 / num: 7 numLab:7
2026-08-08T00:11:19.273+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 110 / suitLハート s:2 / num: 8 numLab:8
2026-08-08T00:11:19.273+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 111 / suitLハート s:2 / num: 9 numLab:9
2026-08-08T00:11:19.273+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 112 / suitLハート s:2 / num: 10 numLab:10
2026-08-08T00:11:19.273+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 113 / suitLハート s:2 / num: 11 numLab:ジャック
2026-08-08T00:11:19.273+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 114 / suitLハート s:2 / num: 12 numLab:クイーン
2026-08-08T00:11:19.273+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 115 / suitLハート s:2 / num: 13 numLab:キング
2026-08-08T00:11:19.273+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 116 / suitLハート s:2 / num: 14 numLab:エース
2026-08-08T00:11:19.273+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 105 / suitLダイヤ s:3 / num: 2 numLab:2
2026-08-08T00:11:19.273+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 106 / suitLダイヤ s:3 / num: 3 numLab:3
2026-08-08T00:11:19.273+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 107 / suitLダイヤ s:3 / num: 4 numLab:4
2026-08-08T00:11:19.274+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 108 / suitLダイヤ s:3 / num: 5 numLab:5
2026-08-08T00:11:19.274+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 109 / suitLダイヤ s:3 / num: 6 numLab:6
2026-08-08T00:11:19.274+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 110 / suitLダイヤ s:3 / num: 7 numLab:7
2026-08-08T00:11:19.274+09:00  INFO 24256 --- [CardCapture-back] [http-nio-8080-exec-5] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 111 / suitLダイヤ s:3 / num: 8 numLab:8
